t	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18
1.14	0.74051	0.154665	-0.154665	-0.74051	-0.154665	0.154665	0	0	0	-0.498326	0.0996063	-0.0996063	0.498326	-0.0996063	0.0996063	0	0	0
1.15	0.735527	0.155661	-0.155661	-0.735527	-0.155661	0.155661	0	0	0	-0.504358	0.0983464	-0.0983464	0.504358	-0.0983464	0.0983464	0	0	0
1.16	0.730484	0.156645	-0.156645	-0.730484	-0.156645	0.156645	0	0	0	-0.510453	0.0970566	-0.0970566	0.510453	-0.0970566	0.0970566	0	0	0
1.17	0.725379	0.157615	-0.157615	-0.725379	-0.157615	0.157615	0	0	0	-0.516611	0.0957359	-0.0957359	0.516611	-0.0957359	0.0957359	0	0	0
1.18	0.720213	0.158573	-0.158573	-0.720213	-0.158573	0.158573	0	0	0	-0.522836	0.0943834	-0.0943834	0.522836	-0.0943834	0.0943834	0	0	0
1.19	0.714985	0.159517	-0.159517	-0.714985	-0.159517	0.159517	0	0	0	-0.529129	0.0929979	-0.0929979	0.529129	-0.0929979	0.0929979	0	0	0
1.2	0.709693	0.160447	-0.160447	-0.709693	-0.160447	0.160447	0	0	0	-0.535491	0.0915784	-0.0915784	0.535491	-0.0915784	0.0915784	0	0	0
1.21	0.704338	0.161362	-0.161362	-0.704338	-0.161362	0.161362	0	0	0	-0.541925	0.0901238	-0.0901238	0.541925	-0.0901238	0.0901238	0	0	0
1.22	0.698919	0.162264	-0.162264	-0.698919	-0.162264	0.162264	0	0	0	-0.548433	0.0886329	-0.0886329	0.548433	-0.0886329	0.0886329	0	0	0
1.23	0.693435	0.16315	-0.16315	-0.693435	-0.16315	0.16315	0	0	0	-0.555017	0.0871043	-0.0871043	0.555017	-0.0871043	0.0871043	0	0	0
1.24	0.687885	0.164021	-0.164021	-0.687885	-0.164021	0.164021	0	0	0	-0.561679	0.0855369	-0.0855369	0.561679	-0.0855369	0.0855369	0	0	0
1.25	0.682268	0.164876	-0.164876	-0.682268	-0.164876	0.164876	0	0	0	-0.568422	0.0839291	-0.0839291	0.568422	-0.0839291	0.0839291	0	0	0
1.26	0.676584	0.165716	-0.165716	-0.676584	-0.165716	0.165716	0	0	0	-0.575248	0.0822795	-0.0822795	0.575248	-0.0822795	0.0822795	0	0	0
1.27	0.670831	0.166539	-0.166539	-0.670831	-0.166539	0.166539	0	0	0	-0.582159	0.0805867	-0.0805867	0.582159	-0.0805867	0.0805867	0	0	0
1.28	0.66501	0.167344	-0.167344	-0.66501	-0.167344	0.167344	0	0	0	-0.589159	0.078849	-0.078849	0.589159	-0.078849	0.078849	0	0	0
1.29	0.659118	0.168133	-0.168133	-0.659118	-0.168133	0.168133	0	0	0	-0.59625	0.0770646	-0.0770646	0.59625	-0.0770646	0.0770646	0	0	0
1.3	0.653155	0.168904	-0.168904	-0.653155	-0.168904	0.168904	0	0	0	-0.603434	0.0752319	-0.0752319	0.603434	-0.0752319	0.0752319	0	0	0
1.31	0.647121	0.169656	-0.169656	-0.647121	-0.169656	0.169656	0	0	0	-0.610716	0.0733489	-0.0733489	0.610716	-0.0733489	0.0733489	0	0	0
1.32	0.641014	0.170389	-0.170389	-0.641014	-0.170389	0.170389	0	0	0	-0.618098	0.0714137	-0.0714137	0.618098	-0.0714137	0.0714137	0	0	0
1.33	0.634833	0.171103	-0.171103	-0.634833	-0.171103	0.171103	0	0	0	-0.625583	0.0694241	-0.0694241	0.625583	-0.0694241	0.0694241	0	0	0
1.34	0.628577	0.171798	-0.171798	-0.628577	-0.171798	0.171798	0	0	0	-0.633174	0.0673779	-0.0673779	0.633174	-0.0673779	0.0673779	0	0	0
1.35	0.622245	0.172471	-0.172471	-0.622245	-0.172471	0.172471	0	0	0	-0.640876	0.0652729	-0.0652729	0.640876	-0.0652729	0.0652729	0	0	0
1.36	0.615837	0.173124	-0.173124	-0.615837	-0.173124	0.173124	0	0	0	-0.648693	0.0631064	-0.0631064	0.648693	-0.0631064	0.0631064	0	0	0
1.37	0.60935	0.173755	-0.173755	-0.60935	-0.173755	0.173755	0	0	0	-0.656627	0.0608759	-0.0608759	0.656627	-0.0608759	0.0608759	0	0	0
1.38	0.602783	0.174364	-0.174364	-0.602783	-0.174364	0.174364	0	0	0	-0.664683	0.0585786	-0.0585786	0.664683	-0.0585786	0.0585786	0	0	0
1.39	0.596137	0.17495	-0.17495	-0.596137	-0.17495	0.17495	0	0	0	-0.672866	0.0562116	-0.0562116	0.672866	-0.0562116	0.0562116	0	0	0
1.4	0.589408	0.175512	-0.175512	-0.589408	-0.175512	0.175512	0	0	0	-0.68118	0.0537717	-0.0537717	0.68118	-0.0537717	0.0537717	0	0	0
1.41	0.582596	0.17605	-0.17605	-0.582596	-0.17605	0.17605	0	0	0	-0.68963	0.0512555	-0.0512555	0.68963	-0.0512555	0.0512555	0	0	0
1.42	0.5757	0.176562	-0.176562	-0.5757	-0.176562	0.176562	0	0	0	-0.698221	0.0486596	-0.0486596	0.698221	-0.0486596	0.0486596	0	0	0
1.43	0.568718	0.177049	-0.177049	-0.568718	-0.177049	0.177049	0	0	0	-0.706957	0.0459801	-0.0459801	0.706957	-0.0459801	0.0459801	0	0	0
